Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
623b8dc3bef4669499fc75e2,617406fbfced12169896d158,APPROVED,2022-03-23T21:15:22.341000Z,2022-03-23T22:27:32.222000Z,2022-03-24T03:41:58.320000Z,,4330,52BD9173,1097,English,58,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
623b8eceb1fca0cb37d91b7b,60f801efc0846c47e4e755e6,APPROVED,2022-03-23T21:19:10.980000Z,2022-03-23T21:51:20.400000Z,2022-03-23T22:05:14.234000Z,,1930,52BD9173,399,"Afrikaans, English",22,Male,Mixed,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
623b9da51ba134d35616dfe7,61260e2741183100f61d0382,APPROVED,2022-03-23T22:22:31.433000Z,2022-03-23T22:53:23.942000Z,2022-03-24T12:34:50.447000Z,,1853,52BD9173,296,"Portuguese, English",23,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Other
623c699cd2d65b245b67a9cf,5e29e902c2253a0587298e26,APPROVED,2022-03-24T12:52:44.870000Z,2022-03-24T13:31:24.148000Z,2022-03-24T13:38:40.624000Z,,2320,52BD9173,409,"English, Polish",29,Male,White,DATA_EXPIRED,Poland,Poland,Polish,DATA_EXPIRED,Unemployed (and job seeking)
623c69a42a3877cfacd1cd04,5e679fb8fe8ea903128c9ec5,APPROVED,2022-03-24T12:52:52.126000Z,2022-03-24T13:20:36.535000Z,2022-03-24T13:22:21.711000Z,,1665,52BD9173,227,"English, Polish",29,Male,White,Poland,Poland,Poland,Polish,No,Other
623c69a5c82806f76e07b4f9,612f56ee3caf2c26fbc996e3,APPROVED,2022-03-24T12:53:01.069000Z,2022-03-24T13:51:31.777000Z,2022-03-24T13:58:52.385000Z,,3511,52BD9173,62,English,23,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
623c69ab64259884b0316256,6156114d229a07b20c305dbe,APPROVED,2022-03-24T12:53:15.180000Z,2022-03-24T13:06:49.583000Z,2022-03-24T13:09:20.261000Z,,815,52BD9173,39,"English, Portuguese",24,Female,White,Portugal,Portugal,Portugal,Portuguese,DATA_EXPIRED,DATA_EXPIRED
623c69b53a8949b3e798ffa3,603e66c867d4bcef6f7af649,APPROVED,2022-03-24T12:53:09.371000Z,2022-03-24T13:13:43.253000Z,2022-03-24T13:22:20Z,,1234,52BD9173,232,"English, Portuguese",23,Female,White,Portugal,Portugal,Portugal,Portuguese,No,DATA_EXPIRED
623c69b542ab1cf4783997cc,6164912303402d94a4b09450,APPROVED,2022-03-24T12:53:15.248000Z,2022-03-24T13:46:31.626000Z,2022-03-24T13:58:50.761000Z,,3197,52BD9173,83,"Arabic, Afrikaans, English",34,Female,Mixed,South Africa,South Africa,South Africa,English,No,Full-Time
623c6b12de7b8fb2c706892a,5abbc97de1099600016a286a,APPROVED,2022-03-24T12:58:58.790000Z,2022-03-24T13:21:42.044000Z,2022-03-24T13:22:17.885000Z,,1364,52BD9173,313,"Portuguese, English",43,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
